Filepath;Source;Target;StartPage;EndPage;Domain;Type
Biology Learners Glossary (English-Hindi).pdf;en;hi;13;302;healthcare;1
Chemistry Learners Glossary (English-Hindi).pdf;en;hi;19;101;general;1
Economics Learners Glossary (English-Hindi).pdf;en;hi;16;70;economy;1
Glossary of Natural Disaster Terms (English-Hindi).pdf;en;hi;22;221;general;1
Physics Learners Glossary (English-Hindi).pdf;en;hi;19;120;general;1
Quality Control Glossary (English-Hindi).pdf;en;hi;12;43;general;2
Administrative Glossary English-Oriya.pdf;en;or;18;417;parliamentary;2
Agriculture A Fundamental Glossary (English-Hindi).pdf;en;hi;19;145;agriculture;1
Arithematics Definitional Dictionary.pdf;hi;en;232;254;general;1
Biotechnology A Fundamental Glossary (English-Hindi).pdf;en;hi;22;108;technology;1
Broadcast Technical Terminology (English-Hindi).pdf;en;hi;19;153;technology;2
Chemistry A Fundamental Glossary (English-Hindi).pdf;en;hi;20;159;general;1
Clinical Diagnostics and Pathology Glossary (English-Hindi).pdf;en;hi;19;415;healthcare;1
Common Medical Terms And Phrases (English-Tamil-Hindi).pdf;en;hi;15;340;healthcare;1
Common Medical Terms And Phrases (English-Tamil-Hindi).pdf;en;ta;15;340;healthcare;1
Common Medical Terms And Phrases (English-Tamil-Hindi).pdf;ta;hi;15;340;healthcare;1
Comprehensive Glossary of Agriculture Science Volume - XVII.pdf;en;hi;20;324;general;2
Comprehensive Glossary of Engineering.pdf;en;hi;28;773;general;2
Comprehensive Glossary of Humanities and Social Science.pdf;en;hi;30;1760;parliamentary;2
Comprehensive Glossary of Science.pdf;en;hi;42;2856;general;2
Comprehensive Glossary of Technical Terms ( Engineering - II).pdf;en;hi;24;183;technology;2
Comprehensive Glossary of Technical Terms (Printing Engineering).pdf;en;hi;19;111;technology;1
Comprehensive Glossary of Technical Terms Engineering (Civil Electrical & Mechanical).pdf;en;hi;38;603;technology;2
Comprehensive Glossary of Technical Terms Medical Sciences.pdf;en;hi;42;719;general;2
Comprehensive Glossary of Technical Terms: Medical Sciences, Agriculture & Engineering (Hindi-English).pdf;en;hi;16;254;healthcare;2
Comprehensive Glossary of technical terms Veterinary Science.pdf;en;hi;25;187;healthcare;2
Computer Science Glossary.pdf;en;hi;13;159;technology;2
Consolidated Defence Glossary (English-Hindi).pdf;en;hi;28;370;national-security-and-defence;2
Drug Adverse Reaction Glossary (English-Hindi).pdf;en;hi;19;214;lifestyle;1
Economics A Fundamental Glossary (English-Hindi).pdf;en;hi;19;156;economy;1
Environmental Science A Fundamental Glossary (English-Hindi).pdf;en;hi;15;174;agriculture;1
Foundamental Glossary of Ayurved (Non Clinical)(Sanskrit-English-Hindi).pdf;sa;hi;26;130;lifestyle;2
Foundamental Glossary of Ayurveda (Clinical) (Sanskrit-English-Hindi).pdf;sa;hi;25;154;lifestyle;2
Fundamental Administrative Terminology English Sindhi.pdf;en;sd;18;248;legal;1
Fundamental Administrative Terminology English-Ashamiya.pdf;en;as;18;187;legal;1
Fundamental Administrative Terminology English-Dogri.pdf;en;sd;18;188;legal;1
Fundamental Administrative Terminology English-Gujrati.pdf;en;gu;18;186;legal;1
Fundamental Administrative Terminology English-Hindi.pdf;en;hi;19;208;legal;1
Fundamental Administrative Terminology English-Kannad.pdf;en;kn;18;181;legal;1
Fundamental Administrative Terminology English-Maithili.pdf;en;mai;18;188;legal;1
Fundamental Administrative Terminology English-Malayalam.pdf;en;ml;17;187;legal;1
Fundamental Administrative Terminology English-Manipuri.pdf;en;mni;18;187;legal;1
Fundamental Administrative Terminology English-Marathi.pdf;en;mr;17;189;legal;1
Fundamental Administrative Terminology English-Nepali.pdf;en;ne;18;197;legal;1
Fundamental Administrative Terminology English-Odiya.pdf;en;sd;18;183;legal;1
Fundamental Administrative Terminology English-Punjabi.pdf;en;pa;19;187;legal;1
Fundamental Administrative Terminology English-Sanskrit.pdf;en;sa;21;189;legal;1
Fundamental Administrative Terminology English-Santhali.pdf;en;sat;19;184;legal;1
